SampleID,Run_TM,TM_BAM
LIVER3R8,R3685,/mnt/BACKUP_NAS05/ECDTM_repo/R3685/align/41-LIVER3R8CT487T_M563-M763.deduplicated.bam
LODLIV5R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/11-LODLIV5R1CT490T_M518-M718.deduplicated.bam
LODCRC19R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/3-LODCRC19R2CT490T_M510-M710.deduplicated.bam
LODCRC6PR1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/39-LODCRC6PR1CT486T_M525-M725.deduplicated.bam
LODLIV6R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/34-LODLIV6R2CT491T_M525-M725.deduplicated.bam
LUNG20R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/134-LODLUNG20R1CT506T_S6593-S6793.deduplicated.bam
LODLIV5R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/33-LODLIV5R2CT491T_M524-M724.deduplicated.bam
LODCRC17R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/1-LODCRC17R2CT490T_M508-M708.deduplicated.bam
LODCRC15R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/43-LODCRC15R1CT489T_M594-M794.deduplicated.bam
LODCRC19R3,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/4-LODCRC19R3CT490T_M511-M711.deduplicated.bam
LODLIV4R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/16-LODLIV4R2CT490T_M523-M723.deduplicated.bam
LODLIV18,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/45-LODLIV18CT493T_M584-M784.deduplicated.bam
LODLIV21R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/79-LODLIV21R2CT494T_M509-M709.deduplicated.bam
LODLIV8,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/5-LODLIV8CT492T_M557-M757.deduplicated.bam
LODLIV18R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/69-LODLIV18R1CT494T_M591-M791.deduplicated.bam
LODLIV12R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/39-LODLIV12R2CT493T_M577-M777.deduplicated.bam
LUNG6R28,R3242,/mnt/BACKUP_NAS05/ECDTM_repo/R3242/align/16-LUNG6R28CT401T_M584-M784.deduplicated.bam
LODCRC24R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/14-LODCRC24R1CT495T_M558-M758.deduplicated.bam
LODBREAST4R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/80-LODBREAST4R1CT494T_M510-M710.deduplicated.bam
CRC8R13,R3656,/mnt/BACKUP_NAS05/ECDTM_repo/R3656/align/14-CRC8R13CT476T_M550-M750.deduplicated.bam
CRC11R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3666/align/46-LODCRC11R1CT478T_M520-M720.deduplicated.bam
LODLIV19R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/70-LODLIV19R1CT494T_M592-M792.deduplicated.bam
LODBREAST10R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/82-LODBREAST10R2CT503T_M560-M760.deduplicated.bam
LODBREAST11R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/83-LODBREAST11R2CT503T_S6533-S6733.deduplicated.bam
LODLIV16R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/67-LODLIV16R1CT494T_M589-M789.deduplicated.bam
LODBREAST12R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/84-LODBREAST12R2CT503T_S6534-S6734.deduplicated.bam
CRC11R2,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3666/align/68-LODCRC11R2CT479T_M534-M734.deduplicated.bam
LODBREAST13R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/85-LODBREAST13R2CT503T_S6535-S6735.deduplicated.bam
LODBREAST14R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/86-LODBREAST14R2CT503T_S6536-S6736.deduplicated.bam
LODLIV18R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/76-LODLIV18R2CT494T_M506-M706.deduplicated.bam
LODBREAST15,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/87-LODBREAST15CT503T_S6537-S6737.deduplicated.bam
LODCRC22,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/5-LODCRC22CT495T_M549-M749.deduplicated.bam
LODGAS5,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/1-LODGAS5CT492T_M541-M741.deduplicated.bam
LODCRC25R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/15-LODCRC25R1CT495T_M559-M759.deduplicated.bam
LODBREAST15R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/88-LODBREAST15R1CT503T_S6538-S6738.deduplicated.bam
LODLIV17R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/75-LODLIV17R2CT494T_M505-M705.deduplicated.bam
LODLIV16R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/74-LODLIV16R2CT494T_M596-M796.deduplicated.bam
LODBREAST15R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/89-LODBREAST15R2CT503T_S6539-S6739.deduplicated.bam
LODLIV11R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/14-LODLIV11R1CT492T_M568-M768.deduplicated.bam
LODCRC25,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/8-LODCRC25CT495T_M552-M752.deduplicated.bam
LODBREAST16,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/90-LODBREAST16CT503T_S6540-S6740.deduplicated.bam
LODBREAST16R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/92-LODBREAST16R1CT503T_S6542-S6742.deduplicated.bam
LODBREAST16R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/94-LODBREAST16R2CT503T_S6544-S6744.deduplicated.bam
LODBREAST17,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/91-LODBREAST17CT503T_S6541-S6741.deduplicated.bam
LODLIV13R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/40-LODLIV13R2CT493T_M578-M778.deduplicated.bam
LODBREAST17R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/93-LODBREAST17R1CT503T_S6543-S6743.deduplicated.bam
LODCRC22R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/12-LODCRC22R1CT495T_M556-M756.deduplicated.bam
LODBREAST17R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/95-LODBREAST17R2CT503T_S6545-S6745.deduplicated.bam
LODBREAST18,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/96-LODBREAST18CT503T_S6546-S6746.deduplicated.bam
LODLIV19,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/46-LODLIV19CT493T_M585-M785.deduplicated.bam
LODBREAST18R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/97-LODBREAST18R1CT504T_S6547-S6747.deduplicated.bam
LODLIV9R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/36-LODLIV9R2CT493T_M574-M774.deduplicated.bam
LODLIV10,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/6-LODLIV10CT492T_M559-M759.deduplicated.bam
LODLIV20,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/47-LODLIV20CT493T_M586-M786.deduplicated.bam
LODCRC21,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/4-LODCRC21CT495T_M548-M748.deduplicated.bam
LODLIV17R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/68-LODLIV17R1CT494T_M590-M790.deduplicated.bam
LODCRC20R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/9-LODCRC20R1CT495T_M553-M753.deduplicated.bam
LODBREAST19,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/98-LODBREAST19CT504T_S6549-S6749.deduplicated.bam
LODBREAST19R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/100-LODBREAST19R1CT504T_S6551-S6751.deduplicated.bam
LODCRC23,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/6-LODCRC23CT495T_M550-M750.deduplicated.bam
LODLIV19R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/77-LODLIV19R2CT494T_M507-M707.deduplicated.bam
LODLIV17,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/44-LODLIV17CT493T_M583-M783.deduplicated.bam
LODLIV9R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/12-LODLIV9R1CT492T_M566-M766.deduplicated.bam
LODLIV21R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/72-LODLIV21R1CT494T_M594-M794.deduplicated.bam
LODBREAST19R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/102-LODBREAST19R2CT504T_S6553-S6753.deduplicated.bam
LODBREAST20,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/99-LODBREAST20CT504T_S6550-S6750.deduplicated.bam
LODCRC23R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/13-LODCRC23R1CT495T_M557-M757.deduplicated.bam
LODBREAST20R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/101-LODBREAST20R1CT504T_S6552-S6752.deduplicated.bam
LODCRC21R1,R3715,/mnt/BACKUP_NAS05/ECDTM_repo/R3715/align/11-LODCRC21R1CT495T_M555-M755.deduplicated.bam
LODBREAST20R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/103-LODBREAST20R2CT504T_S6554-S6754.deduplicated.bam
LODBREAST21,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/104-LODBREAST21CT504T_S6555-S6755.deduplicated.bam
LODBREAST21R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/111-LODBREAST21R1CT505T_S6570-S6770.deduplicated.bam
LODBREAST21R2,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/118-LODBREAST21R2CT505T_S6577-S6777.deduplicated.bam
LODLIV13,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/9-LODLIV13CT492T_M562-M762.deduplicated.bam
LODLIV11,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/7-LODLIV11CT492T_M560-M760.deduplicated.bam
LODBREAST22,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/105-LODBREAST22CT504T_S6556-S6756.deduplicated.bam
LODBREAST22R1,R3725,/mnt/BACKUP_NAS05/ECDTM_repo/R3725/align/112-LODBREAST22R1CT505T_S6571-S6771.deduplicated.bam
LODGAS6,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/2-LODGAS6CT492T_M542-M742.deduplicated.bam
LODLIV8R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/11-LODLIV8R1CT492T_M565-M765.deduplicated.bam
LODLIV20R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/71-LODLIV20R1CT494T_M593-M793.deduplicated.bam
LODLIV15R1,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/66-LODLIV15R1CT494T_M588-M788.deduplicated.bam
LODLIV10R2,R3703,/mnt/BACKUP_NAS05/ECDTM_repo/R3703/align/37-LODLIV10R2CT493T_M575-M775.deduplicated.bam
