File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
735ebb9b-ba22-4979-a584-4477f5df214a	d04f9fac-8506-47fa-b2f4-625e33d9292c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0LW	TCGA-BG-A0LW-01A	Primary Tumor
1b756fc8-d276-4edb-8992-8dc17983ecd2	90516ff9-d5d0-482c-96bb-4de0346861b1_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0MO	TCGA-BG-A0MO-01A	Primary Tumor
010d9c5c-c7ba-49aa-8462-f5aa726018c1	ae79ca25-6c11-422e-9496-2514c5ab7e7f_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0TC	TCGA-BS-A0TC-01A	Primary Tumor
e525bd95-36b7-40ac-9158-a9abf4284ffc	ae79ca25-6c11-422e-9496-2514c5ab7e7f_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0TC	TCGA-BS-A0TC-01A	Primary Tumor
153d59a1-3528-4d0b-ad80-42670c6fb9f3	1c1563f9-2d7c-40c6-90e4-cbef89e866d0_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A05W	TCGA-AX-A05W-01A	Primary Tumor
f84b6efa-89da-4a49-90d5-8170f2c5868b	1c1563f9-2d7c-40c6-90e4-cbef89e866d0_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A05W	TCGA-AX-A05W-01A	Primary Tumor
c070ce03-c710-4db2-a7d1-569ffcd894df	e854b7a8-5385-4cec-b038-8133afa4153d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0MG	TCGA-BG-A0MG-01A	Primary Tumor
0b92cee9-ce2e-4240-af75-fa3c20ca2b01	a6309a65-0381-4a36-a252-8d4dbbe09792_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LJ	TCGA-AP-A0LJ-01A	Primary Tumor
b74f274e-77f7-4b80-a4e9-fdd6c8111c11	cb606623-c338-4a36-a94c-14c0ba3d22d5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0UM	TCGA-BS-A0UM-01A	Primary Tumor
89e7c5bb-4edb-48ef-ac6b-aa7886f7fdb9	3b9d46ea-a7af-4ed2-9c48-d8c8fcc6be3c_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0MI	TCGA-BG-A0MI-01A	Primary Tumor
47856893-e7ec-4e7c-8fd7-3ee61b9e91e5	2fb939fa-1aca-4bf8-9dfe-64a4e0a14409_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0RA	TCGA-A5-A0RA-01A	Primary Tumor
3c07d7f1-232b-4cac-bed6-4af902d6af33	a6309a65-0381-4a36-a252-8d4dbbe09792_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LJ	TCGA-AP-A0LJ-01A	Primary Tumor
bf9102f0-55a8-4f73-922c-f1383f1bcd79	3fb54313-e9e5-4374-88d0-2333d556639d_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LG	TCGA-AP-A0LG-01A	Primary Tumor
b675d4ae-4f46-4452-aa0e-f8cd106644b9	49c178cd-da0e-4cc1-989a-3545e1bc2a88_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LI	TCGA-AP-A0LI-01A	Primary Tumor
d23bed5d-abd0-45d3-9ffc-c393e5f67d20	70a05dcd-6861-441b-a006-4e0135474dd5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BS-A0U8	TCGA-BS-A0U8-01A	Primary Tumor
