File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
9fec1bd6-641c-480f-b0c6-a85079f9a211	b31bd2a4-a647-4dca-86f9-4c89ec85b123.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1XJ	TCGA-D8-A1XJ-01A	Primary Tumor
2bc0cec5-3c61-4322-9440-e601b37dba66	9bc307c8-a8da-4166-b7e9-c214ca0b8e68.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A1FV	TCGA-A2-A1FV-01A	Primary Tumor
c8596dd1-09fa-41f6-8064-dc881bdb6d72	58a2a853-f663-4578-8040-5985cd6964af.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0HI	TCGA-BH-A0HI-01A	Primary Tumor
d2aaafa9-551a-4acb-a849-0b22f8684ba6	cf6d6eef-a822-4f98-9bcb-20da2b42e2f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A22D	TCGA-E9-A22D-01A	Primary Tumor
3fa53bfe-693d-4837-b5c0-2926f2a40b30	ba8a9dc0-72f4-4e7d-84d2-6c66abe37bad.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1LS	TCGA-E2-A1LS-01A	Primary Tumor
eda33cdf-c612-4edd-a6c2-cb2208d9589f	6c9cc706-912c-440a-98ca-772c05d6bcd7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-LL-A50Y	TCGA-LL-A50Y-01A	Primary Tumor
2d32e7a4-f2f9-4112-a516-262ce3ca17b8	d0861e05-22d3-4bc0-bf70-8c84c46fa54b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0RS	TCGA-B6-A0RS-01A	Primary Tumor
cceed3e2-8ac8-4838-8995-f2f62c13121a	c271657b-1e02-4655-9df5-2f01127cc068.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A3ZX	TCGA-B6-A3ZX-01A	Primary Tumor
87af132d-0898-4a63-a440-d2e86ba3bdd6	c7a9387e-a606-4603-8407-3c137264920a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A0T0	TCGA-A2-A0T0-01A	Primary Tumor
7a031158-23ee-4fe7-baf2-7cb3aeeebcf6	5030bce6-c61b-4391-afbd-337739dea17a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AC-A3QQ	TCGA-AC-A3QQ-01A	Primary Tumor
ce655fef-fc19-495f-bba8-8f1318d034f5	26bfb542-c5db-46cf-bacb-cedfd98596d9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1XK	TCGA-D8-A1XK-01A	Primary Tumor
13ae8b89-3c88-4f38-9344-600bb538c3bd	df199db6-cd07-4832-a7d1-a88e5a3182f4.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A1AU	TCGA-AR-A1AU-01A	Primary Tumor
14c3ac3d-99d6-4254-a150-dbc06c76a06d	72c27793-2913-4e0a-9e49-527660e52cf6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1X9	TCGA-D8-A1X9-01A	Primary Tumor
4413af73-e358-41bb-a767-6a4300f18f4b	f37a3d16-dbe7-44ce-aca4-47e45d754050.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1Y1	TCGA-D8-A1Y1-01A	Primary Tumor
0a67f86b-3f4b-4ac4-a189-67c75bc17c89	59179476-a054-4d90-a183-30e85bc96664.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A1RD	TCGA-E9-A1RD-01A	Primary Tumor
8a2fd7fd-89cd-4c29-bd75-8c074a2da4c1	e1a575e6-fb64-4037-a0d3-d24c252cd236.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A254	TCGA-AR-A254-01A	Primary Tumor
0562e802-90ef-466c-99f7-81b872c31bc6	2ee715b9-07e4-4015-a341-03c7dd4fad1e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A27L	TCGA-D8-A27L-01A	Primary Tumor
f0dcd42d-eb6c-4261-a40e-01c0c7a0bf48	1e635971-2d16-4be0-bc3f-4ce6a48ee23f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1J8	TCGA-D8-A1J8-01A	Primary Tumor
92429740-69b5-4a7a-93dd-d34bdeb43b60	37fe9fe6-d961-490c-b2fb-13a313989629.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-GM-A4E0	TCGA-GM-A4E0-01A	Primary Tumor
d30d819c-22ef-4fa4-b8fc-3c2fbecc9b17	bad1c6e0-5878-435c-84a2-b46ae0284524.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A1RH	TCGA-E9-A1RH-01A	Primary Tumor
0825e23a-b362-41d6-995a-2d3ade722efb	d01e4199-cab6-411b-8ef5-b5a443147c5f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-B6-A0RI	TCGA-B6-A0RI-01A	Primary Tumor
2bdbe481-2406-4892-8446-a34d64d0a44c	1daa0996-c123-4067-a397-caa3e6e911d7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A573	TCGA-E2-A573-01A	Primary Tumor
1d33d098-f154-4fc3-aa8d-24e58ef2b7d0	86e20e42-8755-46df-907f-3f755e9b50fb.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-AR-A0TV	TCGA-AR-A0TV-01A	Primary Tumor
